Processo,Parlamentar,Parlamentar 2,Parlamentar 3,Proposta,Tipo de recurso,Tipo,Ano,Objeto,Ação,Forma de Execução,Local de Execução,Diretoria,DATA DO REPASSE,Valor da Emenda,Valor Empenhado,Valor Pago,Percentual do Valor empenhado pago,Situação no FNS,Observação
00045.077226/2025-28,SEM PROPONENTE,,,36000724101202500,EMENDA BANCADA DO PIAUÍ,CUSTEIO PAP,2025,ESTRATÉGIA DE RASTREAMENTO E CONTROLE DE CONDINÇÕES CRÔNICAS: Atividades para Fortalecimento da Atenção Primária à Saúde ," Aquisições de insumos odontológicos, de forma   evitar interrupções de atendimento e desperdício de recursos, sobretudo para combate da cárie",DIRETA,FMS - DAB - UBS  E CEO,DAB,05/02/2026,"R$ 379.997,00","R$ 277.533,87","R$ 31.135,96","2,04%",APROVADA COM REPASSE,"AÇÃO: Material de Consumo. EMPENHOS EMITIDOS, INÍCIO DE PAGAMENTOS"
00045.077309/2025-18,MARCELO CASTRO, JUSSARA LIMA,,36000722992202500,EMENDA DA COMISSÃO DE ASSUNTOS SOCIAIS - CAS,INCREMENTO PAP,2025,"ATENÇÃO INTEGRAL À SAÚDE DA MULHER, Apoio a Ações de Planejamento Reprodutivo (R$ 1.000.000,00)","Açao 1: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA (R$ 500.000,00) Contratação de Pessoa Jurídica para manutenção de ar-condicionado (sala de exames, consultórios); manutenção de computadores; 
",DIRETA,FMS- DAB ,DAB,05/02/2026,"R$ 1.000.000,00","R$ 879.260,00",,,APROVADA COM REPASSE,"EMPENHOS EMITIDOS, INÍCIO DE PAGAMENTOS"
00045.077309/2025-18,MARCELO CASTRO, JUSSARA LIMA,,36000722992202500,EMENDA DA COMISSÃO DE ASSUNTOS SOCIAIS - CAS,INCREMENTO PAP,2025,"ATENÇÃO INTEGRAL À SAÚDE DA MULHER, Apoio a Ações de Planejamento Reprodutivo (R$ 1.000.000,00)","Ação 2: Material de Consumo (R$ 500.000,00)",DIRETA,FMS- DAB ,DAB,05/02/2026,"R$ 1.000.000,00","R$ 120.740,00",,,APROVADA COM REPASSE,"EMPENHOS EMITIDOS, INÍCIO DE PAGAMENTOS"
00045.071925/2025-80,FLORENTINO NETO,JULIO ARCOVERDE,DR. LUIZ ANTONIO TEIXEIRA JR.,36000712839202500,EMENDA DA COMISSÃO DE SAÚDE,INCREMENTO MAC,2025,"PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO), Outras Cirurgias - Baixa Complexidade(R$ 500.000,00) e Ortopédia - Baixa Complexidade (R$ 500.000,00)","AÇÃO 1: Material de Consumo R$ 500.000,00",DIRETA,"DAE/FMS US DIRCEU II (Hospital Alberto Neto, CNES 2323443)",DAE,13/02/2026,"R$ 1.000.000,00","R$ 549.596,11","R$ 1.933,62","0,35%",APROVADA COM REPASSE,NUOREM encaminhou os EMPENHOS a empresa encaminhar os produtos (45 EMPENHOS)
00045.071925/2025-80,FLORENTINO NETO,JULIO ARCOVERDE,DR. LUIZ ANTONIO TEIXEIRA JR.,36000712839202500,EMENDA DA COMISSÃO DE SAÚDE,INCREMENTO MAC,2025,"PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO), Outras Cirurgias - Baixa Complexidade(R$ 500.000,00) e Ortopédia - Baixa Complexidade (R$ 500.000,00)","AÇÃO 2: OUTRAS DESPESAS VARIÁVEIS – PESSOAL CIVIL, valor:  R$ 500.000,00.",DIRETA,"DAE/FMS US DIRCEU II (Hospital Alberto Neto, CNES 2323443)",DAE,13/02/2026,"R$ 1.000.000,00","R$ 0,00","R$ 0,00","0,00%",APROVADA COM REPASSE,NUOREM encaminhou os EMPENHOS a empresa encaminhar os produtos (45 EMPENHOS)
00045.072933/2025-24,CASTRO NETO,,,36000712851202500,EMENDA BANCADA DO PIAUÍ,INCREMENTO MAC,2025,"REDE ALYNE Unidades Neonatais (R$ 828.600,00)","AÇÃO 1: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA (328.600,00)
",DIRETA,DAE/FMS  REDE ALYNE UNID NEONATAL: MATERNIDADE WALL FERRAZ,DAE,23/12/2025,"R$ 828.600,00","R$ 327.732,82","R$ 60.224,73","6,93%",APROVADA COM REPASSE,NUOREM REALIZANDO EMPENHOS EM 15/07/2026 ESTÃO ACIMA DO VALOR DA PROPOSTA
00045.072933/2025-24,CASTRO NETO,,,36000712851202500,EMENDA BANCADA DO PIAUÍ,INCREMENTO MAC,2025,"REDE ALYNE Unidades Neonatais (R$ 828.600,00)","AÇÃO 2: MATERIAL DE CONSUMO (R$ 300.000,00)",DIRETA,DAE/FMS  REDE ALYNE UNID NEONATAL: MATERNIDADE WALL FERRAZ,DAE,23/12/2025,"R$ 828.600,00","R$ 210.700,6",,,APROVADA COM REPASSE,NUOREM REALIZANDO EMPENHOS EM 15/07/2026 ESTÃO ACIMA DO VALOR DA PROPOSTA
00045.072933/2025-24,CASTRO NETO,,,36000712851202500,EMENDA BANCADA DO PIAUÍ,INCREMENTO MAC,2025,"REDE ALYNE Unidades Neonatais (R$ 828.600,00)","AÇÃO 3: LOCACAO DE MAO-DE-OBRA (R$ 200.000,00)",DIRETA,DAE/FMS  REDE ALYNE UNID NEONATAL: MATERNIDADE WALL FERRAZ,DAE,23/12/2025,"R$ 828.600,00","R$ 200.000,00",,,APROVADA COM REPASSE,NUOREM REALIZANDO EMPENHOS EM 15/07/2026 ESTÃO ACIMA DO VALOR DA PROPOSTA
00045.037564/2025-22,JUSSARA LIMA,,,36000678805202500,EMENDA BANCADA DO PIAUÍ,INCREMENTO MAC,2025,"FORNECIMENTO DE REFEIÇÕES Á PACIENTES, ACOMPANHANTES, FUNCIONÁRIOS E RESIDENTES MULTIPROFISSIONAIS DAS US DA FMS.","AÇÃO 1: contratação de empresa especializada na prestação contínua de serviços de fornecimento de refeições a pacientes, acompanhantes, funcionários e residentes multiprofissionais dos Hospitais do Promorar, Dirceu e Monte Castelo, das Unidades de Pronto Atendimento (UPAs) Satélite e Renascença, bem como do Serviço de Atendimento Móvel de Urgência (SAMU) de Teresina. GERÊNCIA DE  NUTRIÇÃO",DIRETA,"DAE/FMS - US DIRCEU, US MONTE CASTELO, US PROMORAR, US RENASCENÇA, US SATÉLITE, US SAMU",DAE,09/09/2025,"R$ 3.000.000,00","R$ 3.000.000,00","R$ 2.999.591,72","99,99%",APROVADA COM REPASSE,"EXECUTADA (0BS: NO SALDO DA CONTA DO FNS APARECE UM SALDO DE R$ 435.675,04 - 14,52%)"
00045.057015/2025-03, MARCELO CASTRO ,JUSSARA LIMA,,36000704509202500,EMENDA DA COMISSÃO DE ASSUNTOS SOCIAIS - CAS,INCREMENTO MAC,2025,"PROGRAMA MAIS ACESSO A ESPECIALISTA – PMAE,  OCI em Ortopedia (R$ 1.250.000,00) OCI em Cardiologia (R$ 1.250.000,00)  REDE ALYNE Valor Parto e Nascimento Baixo Risco (R$ 2.500.000,00)","AÇÃO 1: OCI CARDIOLOGIA – R$ 1.250.000,00, a) Utilizar no contrato de empenho da All Med (manutenção) - Contrato nº 295/2024, b) Utilizar no contrato de empenho da Lavanderia Hospitalar (enxoval) - Contrato nº 107/2025, c) Gases medicinais - White Martins - Contrato nº 84/2022, ) Equipamentos locados - Alfa Médico Hospitalar- Contrato nº 63/2022, e) Serviço de Metalurgia - Ferri Costa - Contrato nº 92/2020",DIRETA,"DAE/FMS -  REDE HOSPITALARES: US DIRCEU II US SATÉLITE, US BUENOS AIRES, US PROMORAR E MATERNIDADE WALL FERRAZ.",DAE,27/11/2025,"R$ 5.000.000,00","R$ 1.250.000,00","R$ 684.908,66","54,79%",APROVADA COM REPASSE,"EM EXECUÇÃO, COM EMPENHOS EMITIDOS, ALGUNS PAGOS TOTALMENTE, OUTROS PARCIALMENTE E OUTTROS AINDA SEM PAGAMENTO."
