Processo,Parlamentar,Parlamentar 2,Parlamentar 3,Proposta,Tipo de recurso,Tipo,Ano,Objeto,Ação,Forma de Execução,Local de Execução,Diretoria,DATA DO REPASSE,Valor da Emenda,Valor Empenhado,Valor Pago,Percentual do Valor empenhado pago,Situação no FNS,Observação
00045.077215/2025-34,JÚLIO CESAR,,,63000723855202500,PROGRAMA,CUSTEIO MAC,2025,MANUTENÇÃO PREDIAL DAS UNIDADES DE SAÚDE  - PMAE: OCI EM CARDIOLOGIA OCI EM OTORRINOLARINGOLOGIA- US DIRCEU II; US MONTE CASTELO; US PROMORAR; US SATÉLITE E OCI EM OTORRINOLARINGOLOGIA CENTRO INTEGRADO DE SAUDE LINEU ARAUJO,"AÇÃO 2: OCI em Cardiologia ( R$ 1.500.000,00) OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA",DIRETA,"DAE/FMS - US DIRCEU II; US MONTE CASTELO; US PROMORAR; US SATÉLITE, LINEU ARAÚJO",DAE,23/04/2026,"R$ 5.500.035,00","R$ 0,00","R$ 0,00","0,00%",APROVADA COM REPASSE,"PROCESSO 00045.034806/2026-86 gea indicou o contrato 356/2026 e solicitou o empenho de 400.000,00.  GEA emitiu ordem de serviço para HOSPITAL PROMORAR, LINEU ARAUJO, MONTE CASTELO, PARQUE PIAUÍ, UPA PROMORAR, UPA RENASCENÇA, HOSPITAL OZEAS SAMPAIO . EM RELAÇÃO ÀS OCI AGUARDANDO A DIRETORIA DO CISLA ENVIAR A DEMANDA DE OTORRINOLARINGOLOGIA: AGUARDANDO DEFINIÇÃO DA DAE"
00045.077215/2025-34,JÚLIO CESAR,,,63000723855202500,PROGRAMA,CUSTEIO MAC,2025,MANUTENÇÃO PREDIAL DAS UNIDADES DE SAÚDE  - PMAE: OCI EM CARDIOLOGIA OCI EM OTORRINOLARINGOLOGIA- US DIRCEU II; US MONTE CASTELO; US PROMORAR; US SATÉLITE E OCI EM OTORRINOLARINGOLOGIA CENTRO INTEGRADO DE SAUDE LINEU ARAUJO,"AÇÃO 3: OCI em Otorrinolaringologia ( R$ 1.250.035,00) LINEU ARAÚJO , OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA",DIRETA,"DAE/FMS - US DIRCEU II; US MONTE CASTELO; US PROMORAR; US SATÉLITE, LINEU ARAÚJO",DAE,23/04/2026,"R$ 5.500.035,00","R$ 0,00","R$ 0,00","0,00%",APROVADA COM REPASSE,"PROCESSO 00045.034806/2026-86 gea indicou o contrato 356/2026 e solicitou o empenho de 400.000,00.  GEA emitiu ordem de serviço para HOSPITAL PROMORAR, LINEU ARAUJO, MONTE CASTELO, PARQUE PIAUÍ, UPA PROMORAR, UPA RENASCENÇA, HOSPITAL OZEAS SAMPAIO . EM RELAÇÃO ÀS OCI AGUARDANDO A DIRETORIA DO CISLA ENVIAR A DEMANDA DE OTORRINOLARINGOLOGIA: AGUARDANDO DEFINIÇÃO DA DAE"
00045.003436/2026-72,SEM PROPONENTE,,,63000720152202500,PROGRAMA,CUSTEIO MAC,2025,OCI Onco e Manutenção de US filantrópica E LOCACAÇÃO DE AMBULÃNCIAS,"AÇÃO 1:  Rede de Urgência (R$ 2.625.000,00) Locação de Ambulância, OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA",DIRETA,SAMU,DAE,08/04/2026,"R$ 5.250.000,00","R$ 2.625.000,00","R$ 137.500,00","5,24%",APROVADA COM REPASSE,"AÇÃO: VI (DAE)- CUSTEIO DE SERVIÇOS DA MÉDIA E ALTA COMPLEXIDADE - MANUTENÇÃO Valor Rede de Urgência R$ 2.625.000,00: EMPENHOS EMITIDOS  E PAGO 137.500,00"
 00045.020136/2026-28,SEM PROPONENTE,,,63000720152202500,PROGRAMA,CUSTEIO MAC,,OCI Onco e Manutenção de US filantrópica E LOCACAÇÃO DE AMBULÃNCIAS,"AÇÃO 2: OCI em Oncologia (R$ 2.625.000,00), OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA",INDIRETA,CHAMAMENTO PÚBLICO FILANTRÓPICA,DRCAA,08/04/2026,"R$ 5.250.000,00","R$ 0,00","R$ 0,00","0,00%",APROVADA COM REPASSE," AÇÃO 2 (DRCAA):  - PROGRAMA MAIS ACESSO A ESPECIALISTA (00045.020136/2026-28)- PMAE Valor OCI em Oncologia R$ 2.625.000,00.  Será realizada a pesquisa de preço 26/08/2026. Realizado Minuta do TR. Foi encaminhado despacho para AJU pela DRCAA para indagar sobre contratação de serviços sem dedicação exclusiva de mão de obra."
00045.061672/2025-73 ,SEM PROPONENTE,,,63000711372202500,PROGRAMA,CUSTEIO MAC,2025,"IV - POLÍTICA NACIONAL DE PREVENÇÃO E CONTROLE DO CÂNCER Quimioterapia - Custeio para Quimioterápicos e Agentes Antineoplásicos Padronizados na CONITEC R$ 2.000.000,00 I - PROGRAMA MAIS ACESSO A ESPECIALISTA – PMAE, OCI em Oncologia R$  250.000,00 VI - CUSTEIO DE SERVIÇOS DA MÉDIA E ALTA COMPLEXIDADE – MANUTENÇÃO, Alta Complexidade R$ 2.250.000,00","SUBVENCOES SOCIAIS: R$ 4.500.000,00",INDIRETA,HOSPITAL SÃO MARCOS,DRCAA,15/01/2026,"R$ 4.500.000,00","R$ 4.500.000,00","R$ 4.500.000,00","100,00%",APROVADA COM REPASSE,Pago. Aguardando prestação de contas
00045.003129/2026-19,JÚLIO ARCOVERDE,,,36000712702202500,EMENDA BANCADA DO PIAUÍ,INCREMENTO MAC,2025,"O recurso vai apoiar a execução de serviços diagnósticos especializados, abrangendo oftalmologia,oncologia, ortopedia com exames de imagem, avaliação cardiológica e exames voltados à saúde da mulher.","AÇÃO 1: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA: R$ 1.740.060,00",INDIRETA,CLÍNICA BATISTA,DRCAA,12/02/2026,"R$ 1.740.060,00","R$ 0,00","R$ 0,00","0,00%",APROVADA COM REPASSE,DAF-FMS PARA CONHECIMENTO DO RECEBIMENTO DO  RECURSOS. AGUARDANDO FINALIZAÇÃO DAS EMENDAS MUNICIPAIS POIS NÃO PODE HAVER SOBREPOSIÇÃO DE OBJETOS QUE TEM NAS EMENDAS MUNICIPAIS.
00045.063354/2025-55,JUSSARA LIMA ,MARCELO CASTRO,,36000711543202500,EMENDA DA COMISSÃO DE ASSUNTOS SOCIAIS - CAS,INCREMENTO MAC,2025,Mutirão de Cirurgia e exames ginecológicos mediante a realização de contrato com o HU da Universidade Federal do Piauí,"AÇÃO 1: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA, R$ 500.000,00",INDIRETA,HOSPITAL UNIVERSITÁRIO,DRCAA,16/12/2025,"R$ 500.000,00","R$ 0,00","R$ 0,00","0,00%",APROVADA COM REPASSE,"À DRCAA EM 26/06, PARA ENVIO DE OFÍCIO AO PRESTADOR SOLICTADO ESCALAS DOS PROFISSIONAIS E SERVIÇOS CONTEMPLADOS NA PROPOSTA.  EM 18/0/2026 HU INFORMA QUE JÁ REALIZOU O MUTIRÃO."
00045.064565/2025-47, FLORENTINO NETO, JULIO ARCOVERDE,DR. LUIZ ANTONIO TEIXEIRA ,36000712987202500,EMENDA DA COMISSÃO DE SAÚDE,INCREMENTO MAC,2025,"PROGRAMA MAIS ACESSO A ESPECIALISTA – PMAE OCI em Oncologia R$ 1.000.000,00, OCI em Ortopedia R$ 1.000.000,00, OCI em Ginecologia R$ 1.000.000,00, OCI em Cardiologia R$  916.822,00.","AÇÃO 1::  OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA: R$ 3.916.822,00",INDIRETA,A DEFINIR EM CHAMAMENTO PÚBLICO,DRCAA,17/12/2025,"R$ 3.916.822,00","R$ 0,00","R$ 0,00","0,00%",APROVADA COM REPASSE,Credenciamento em fase de verificação de documentação das propostas de credenciamento. Análise feita. Aguardando despacho da DRCAA.
00045.038623/2025-44, MERLONG SOLANO,,,36000678798202500,EMENDA INDIVIDUAL,INCREMENTO MAC,2025,"METAS QUALITATIVAS: Tempo Médio de Realização de Procedimentos 650.000,00Custear aquisições de medicamentos.","AÇÃO 1: TRANSFERENCIAS POR MEIO DE CONTRATO DE GESTAO (R$ 650.000,00) Custear a aquisição de medicamentos",INDIRETA,HOSPITAL SÃO MARCOS,DRCAA,02/09/2025,"R$ 650.000,00","R$ 650.000,00","R$ 650.000,00",100 %,APROVADA COM REPASSE,pago completamente 16/07/2026  - 1º  T.A AO TF Nº 01/2025 NE 4252/2026 aguardando prestação de contas
00045.058667/2025-19,FLORENTINO NETO,,,36000712639202500,EMENDA BANCADA DO PIAUÍ,INCREMENTO MAC,2025,"PROGRAMA MAIS ACESSO A ESPECIALISTA - PMAE OCI em Oftalmologia R$ 400.000,00, OCI em Oncologia R$ 300.000,00, OCI em Ortopedia 437.020,00, OCI em Cardiologia R$ 300.000,00","AÇÃO 1: IOUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA R$1.437.020,00",INDIRETA,CLÍNICA BATISTA,DRCAA,17/12/2025,"R$ 1.437.020,00","R$ 0,00","R$ 0,00","0,00%",APROVADA COM REPASSE,AGUARDANDO FINALIZAÇÃO DA EMENDAS MUNICIPAIS QUE ESTÃO EM PROCESSO DE PRESTAÇÃO DE CONTAS NA CMA. PROCESSO NA GEPLAN PARA SANAR DÚVIDAS.
00045.015859/2025-80,SEM PROPONENTE,,,36000006917,PROGRAMA,EQUIPAMENTO,2025,Renovação de frota SAMU.,-,DIRETA,SAMU,DAE,-,"R$ 2.036.105,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA FAVORÁVEL AGUARDANDO CLASSIFICAÇÃO ORÇAMENTÁRIA,PROPOSTA FAVORÁVEL AGUARDANDO CLASSIFICAÇÃO ORÇAMENTÁRIA
00045.017976/2025-54,SEM PROPONENTE,,,360000127392025,PROGRAMA,EQUIPAMENTO,2025,Aquisição de kit equipamentos Telessaude.,-,DIRETA,UBS,DAB,-,"R$ 7.158,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA FAVORÁVEL AGUARDANDO CLASSIFICAÇÃO ORÇAMENTÁRIA,NÃO POSSUI ANDAMENTOS ABERTOS - COM PARECER DA PROPOSTA -EM ANÁLISE MS
00045.017977/2025-27,SEM PROPONENTE,,,36000013757,PROGRAMA,EQUIPAMENTO,2025,Aquisição de combo de equipamentos para UBS.,-,DIRETA,UBS,DAB,-,"R$ 3.592.728,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA FAVORÁVEL AGUARDANDO CLASSIFICAÇÃO ORÇAMENTÁRIA,NÃO POSSUI ANDAMENTOS ABERTOS - COM ANEXO DE COMPROVANTE DE ENTREGA DE EQUIPAMENTOS
00045.015924/2025-71,SEM PROPONENTE,,,360000070022025,PROGRAMA,OBRA,2025,Construção da UBS Flamboyant.,-,DIRETA,UBS  FLAMBOYANT,DAB,-,"R$ 3.907.000,00","R$ 0,00","R$ 0,00","0,00%",Proposta Classificada aguardando autorização Secretaria,"GEA FMS- LICITAÇÃO ABERTA NO PROC. 00045.059389/2025-22. para ciência do Parecer Ministério da Saúde (15684326) sobre o Pedido de Prorrogação de Prazo realizado em 26/03/2026 e Comprovante de Pedido de Prorrogação de Prazo (15684248), onde o supramencionado parecer foi atendido com o envio do Edital N ° 90011-2026 (SEMAPMT) (15479650), Aviso CONCORRÊNCIA ELETRÔNICA 900112026 (15479662), Publicação - PNCP (15479669), Publicação do Diário Oficial do Município Concorrência Eletrônica nº 90011/2026 - SEMA/PMT (15479739), Recibo DE DIVULGAÇÃO TCE-PI (CONCORRÊNCIA UBS IV) (15479761), Publicação Diário Oficial da União (DOU) - Aviso de Licitação UBS IV (15481197), Ofício Nº 3757/2026 - GEA-FMS (15479779) e Cronograma de Licitação e Execução (15480976)."
00045.017445/2025-35,,,,36000011730,PROGRAMA,OBRA,2025,Construção CAPS III.,-,DIRETA,CAPS III,DAE,-,"R$ 2.908.000,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA EMPENHADA AGUARDANDO FORMALIZAÇÃO,"GEA: para ciência do Comprovante de Pedido de Prorrogação de Prazo (15689587), onde foram enviados o Edital nº 900013/2026 - SEMA/PMT (CAPS III) (15689602), Aviso de Licitação CE nº 900013/2026 - SEMA/PMT (CAPS III) (15689632), Publicação - PNCP (15689646), Publicação do Diário Oficial do Município Concorrência Eletrônica nº 90013/2026 - SEMA/PMT (15689672), Recibo DE DIVULGAÇÃO TCE-PI (CONCORRÊNCIA CAPS III) (15689683), Ofício Nº 4388/2026 - GEA-FMS (15683204) e Cronograma de Licitação e Execução (15683347)."
00045.029489/2025-88,BÁRBARA DO FIRMINO,,,-,EMENDA ESTADUAL,OBRA,2025,Construção CAPS LESTE II,-,DIRETA,CAPS LESTE II,DAE,-,"R$ 1.000.000,00",,,,,"Informamos abertura do Processo Licitatório 00045.076410/2025-41, com objeto de  CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA PARA EXECUÇÃO DOS SERVIÇOS REMANESCENTES E FINALIZAÇÃO DA OBRA DE CONSTRUÇÃO DO CENTRO DE ATENÇÃO PSICOSSOCIAL – CAPS II LESTE, DO MUNICÍPIO DE TERESINA-PI, CONTEMPLANDO O FORNECIMENTO DE MÃO DE OBRA, MATERIAIS, EQUIPAMENTOS, FERRAMENTAS E DEMAIS INSUMOS NECESSÁRIOS. PROCESSO DE LICITAÇÃOE STÁ NA CCP-SEMA EM 03/08/2026 COM PARECER TÉCNICO DA Assessoria Técnica de Licitações e Contratos da SEMA"
00045.045376/2025-73,-,,,,PROGRAMA,,2025,Construção ACADEMIA DA SAÙDE - Retomada de obra,--,DIRETA,ACADEMIA DA SAÚDE,DAB,,"R$ 103.500,80","R$ 0,00","R$ 0,00","0,00%",AGUARDANDO AÇÃO PREPARATÓRIA DA RETOMADA DE OBRAS,NUOR-GEPLAN FMS - DOTAÇÃO ORÇAMENTÁRIA
00045.045258/2025-58,-,,,,PROGRAMA,,2025,Construção CAPS - Retomada de obra,-,DIRETA,CONSTRUÇÃO CAPS,DAE,,"R$ 1.186.560,00","R$ 0,00","R$ 0,00","0,00%",AGUARDANDO AÇÃO PREPARATÓRIA DA RETOMADA DE OBRAS,DPLAN /GAB PRES FMS -  TERMO DE REPACTUAÇÃO PARA RETOMADA DE OBRA OU SERVIÇO DE ENGENHARIA
00045.015911/2025-34,-,,,'36000007828,PROGRAMA,,2025,Não contemplado.,-,DIRETA,UOM,-,,"R$ 0,00","R$ 0,00","R$ 0,00","0,00%",SOLICITAÇÃO NÃO CONTEMPLADA PARA O MUNICÍPIO DE TERESINA,
00045.019918/2025-97,-,,,36000020744,,,2025,Construção Policlínica.,-,DIRETA,POLICLÍNICA LESTE,-,,"R$ 16.902.340,00","R$ 0,00","R$ 0,00","0,00%",APROVADA,GERENTE DA CAIXA ECONOMICA - COM OFICIO CANCELAMENTO DO INSTRUMENTO Nº 979496/2025
00045.060674/2025-53,JUSSARA LIMA,,,36000705665202500,,,2025,INCREMENTO PAP,-,INDIRETA,INSTITUTO PREÇA,-,,"R$ 500.000,00","R$ 0,00","R$ 0,00","0,00%",IMPEDIMENTO TÉCNICO,-
00045.054221/2025-72,-,,,36000705672202500,,,2025,INCREMENTO MAC,-,-,-,-,,"R$ 4.005.680,00","R$ 0,00","R$ 0,00","0,00%",CANCELADA,-
00045.026715/2025-05,-,,,,,,2025,INCREMENTO MAC,-,-,-,-,,"R$ 43.637.186,04","R$ 0,00","R$ 0,00","0,00%",,
00045.076712/2025-35,-,,,,,,2025,INCREMENTO PAP,-,-,-,-,,"R$ 2.000.000,00","R$ 0,00","R$ 0,00","0,00%",SALDO NÃO DISPONIBLIZADO PELO MS,
00045.073382/2025-26,-,,,,,,2025,INCREMENTO MAC,-,-,-,-,,"R$ 5.000.035,00","R$ 0,00","R$ 0,00","0,00%",SALDO NÃO DISPONIBLIZADO PELO MS,
00045.076983/2025-90,-,,,,,,2025,INCREMENTO MAC,-,-,-,-,,"R$ 3.000.000,00","R$ 0,00","R$ 0,00","0,00%",SALDO NÃO DISPONIBLIZADO PELO MS,
00045.069086/2025-06,-,,,,,,2025,INCREMENTO MAC,-,-,-,-,,"R$ 500.000,00","R$ 0,00","R$ 0,00","0,00%",SALDO NÃO DISPONIBLIZADO PELO MS,
00045.076972/2025-96,-,,,,,,2025,INCREMENTO MAC,-,-,-,-,,"R$ 809.816,20","R$ 0,00","R$ 0,00","0,00%",SALDO NÃO DISPONIBLIZADO PELO MS,
00045.076726/2025-45,-,,,,,,2025,INCREMENTO MAC,-,-,-,-,,"R$ 5.000.000,00","R$ 0,00","R$ 0,00","0,00%",SALDO NÃO DISPONIBLIZADO PELO MS,
00045.076679/2025-53,-,,,,,,2025,INCREMENTO MAC,-,-,-,-,,"R$ 720.000,00","R$ 0,00","R$ 0,00","0,00%",SALDO NÃO DISPONIBLIZADO PELO MS,
00045.074707/2025-44,-,,,,,,2025,INCREMENTO PAP,-,-,-,-,,"R$ 1.599.999,77","R$ 0,00","R$ 0,00","0,00%",SALDO NÃO DISPONIBLIZADO PELO MS,
00045.062335/2025-20,-,,,,,,2025,Custeio custeio de outras ações da atenção especializada - Número da Solicitação: 000304.2468234/2025.,,DIRETA,FMS - DAE,-,,"R$ 3.011.000,00","R$ 0,00","R$ 0,00","0,00%",SOLICI. CIB E MS,
00045.008651/2026-14,CASTRO NETO ,,,63000777448202600,PROGRAMA,CUSTEIO PAP,2026,"CUSTEIO DE SERVIÇOS DA ATENÇÃO PRIMÁRIA À SAÚDE: VIII - Custeio de Serviços da Atenção Primária à Saúde - Outras Ações R$ 799.999,00, V - Estratégias para Atenção Integral à Saúde da Mulher R$  800.000,00","AÇÃO 1: SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PESSOA JURIDICA Valor 799.999,00;",DIRETA,UBS,DAB,29/06/2026,"R$ 1.599.999,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,GTI ESTÁ ANALISANDO
00045.008651/2026-14,CASTRO NETO ,,,63000777448202600,PROGRAMA,CUSTEIO PAP,2026,"CUSTEIO DE SERVIÇOS DA ATENÇÃO PRIMÁRIA À SAÚDE: VIII - Custeio de Serviços da Atenção Primária à Saúde - Outras Ações R$ 799.999,00, V - Estratégias para Atenção Integral à Saúde da Mulher R$  800.000,00","AÇÃO 2: MATERIAL DE DISTRIBUICAO GRATUITA Valor 100.000,00;",DIRETA,UBS,DAB,29/06/2026,"R$ 1.599.999,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,GEAFA INFORMOU O CONTRATO VIGENTE
00045.008651/2026-14,CASTRO NETO ,,,63000777448202600,PROGRAMA,CUSTEIO PAP,2026,"CUSTEIO DE SERVIÇOS DA ATENÇÃO PRIMÁRIA À SAÚDE: VIII - Custeio de Serviços da Atenção Primária à Saúde - Outras Ações R$ 799.999,00, V - Estratégias para Atenção Integral à Saúde da Mulher R$  800.000,00","AÇÃO 3: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA Valor 200.000,00;",DIRETA,UBS,DAB,29/06/2026,"R$ 1.599.999,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,ENVIADO PARA DRH INFORMAR SOBRE A POSSIBILIDADE DE TREINAMENTOS
00045.008651/2026-14,CASTRO NETO ,,,63000777448202600,PROGRAMA,CUSTEIO PAP,2026,"CUSTEIO DE SERVIÇOS DA ATENÇÃO PRIMÁRIA À SAÚDE: VIII - Custeio de Serviços da Atenção Primária à Saúde - Outras Ações R$ 799.999,00, V - Estratégias para Atenção Integral à Saúde da Mulher R$  800.000,00","AÇÃO 4:MATERIAL DE CONSUMO Valor 500.000,00",DIRETA,UBS,DAB,29/06/2026,"R$ 1.599.999,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,"ENVIADO PARA NUAL PARA INFORMAR SE  existe contrato vigente para  aquisição de insumos como lençol descartável para mesa de exame, camisola ou avental descartável, bem como também a aquisição de impressos de  materiais educativos para ações de prevenção do câncer de colo de útero, mama, ISTs e vacinação HPV, maternidade segura, pré-natal, Planejamento Reprodutivo."
00045.008155/2026-20,SEM PROPONENTE,,,63000731008202600,PROGRAMA,CUSTEIO PAP,2026,"AQUISIÇÃO DE MATERIAIS PARA ATIVIDADES FÍSICAS COM OS IDOSOS (colchonetes, halteres e etc.), SERVIÇOS DE MANUTENÇÃO DAS ACADEMIAS E MANUTENÇÃO DOS AR CONDICIONADOS DAS UBS.",,DIRETA,UBS,DAB,-,"R$ 2.000.000,00","R$ 0,00","R$ 0,00","0,00%",ENVIADA PARA ANÁLISE TÉCNICA,
00045.039651/2026-27,SEM PROPONENTE,,,63000759774202600,PROGRAMA,CUSTEIO PAP,2026,MANUTENÇÃO PREDIAL - UBS E MANUTENÇÃO DE REFRIGERADORES DAS SALAS DE VACINA E AQUISIÇÃO DE INSUMOS PARA UBS.  ,,DIRETA,UBS,DAB,-,"R$ 5.000.000,00","R$ 0,00","R$ 0,00","0,00%",ADEQUADA  PARA REANÁLISE TÉCNICA  (EM DILIGÊNCIA 01/072026 ) ,
00045.019676/2026-32,SEM PROPONENTE,,,63000745447202600,PROGRAMA,CUSTEIO PAP,2026,"VIII - Custeio de Serviços da Atenção Primária à Saúde - Outras Ações R$ 500.000,00 custeio de locação veicular, a utilização dos veículos.  III - Estratégia de rastreamento e controle de condições crônicas (R$  500.035,00) Custeio reagentes Centro de Diagnóstico Raul Bacellar","AÇÃO 1:  OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA ( R$ 500.035,00 ) locação dos veículos",DIRETA,CMV-DAF / DAB,DAB,09/06/2026,"R$ 1.000.035,00","R$ 449.500,00","R$ 0,00",0,PROPOSTA PAGA,AÇÃO MATERIAL DE CONSUMO: AO RAUL BACELAR PARA SOLICITAÇÃO DE NOTA DE EMPENHO;
00045.019676/2026-32,SEM PROPONENTE,,,63000745447202600,PROGRAMA,CUSTEIO PAP,2026,"VIII - Custeio de Serviços da Atenção Primária à Saúde - Outras Ações R$ 500.000,00 custeio de locação veicular, a utilização dos veículos.  III - Estratégia de rastreamento e controle de condições crônicas (R$  500.035,00) Custeio reagentes Centro de Diagnóstico Raul Bacellar","AÇÃO 2: MATERIAL DE CONSUMO (R$ 500.000,00) reagentes Raul Bacellar",DIRETA,CMV-DAF / DAB,DAB,09/06/2026,"R$ 1.000.035,00",168.630.00,"R$ 0,00",0,PROPOSTA PAGA, AÇÃO: SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA: CVM solicitou empenho e está no NUOREM.
00045.016447/2026-12,JULIO CESAR,,,36000771293202600,EMENDA INDIVIDUAL,INCREMENTO PAP,2026,"Atividades para Fortalecimento da Atenção Primária à Saúde (R$ 2.150.000,00) CUSTEIO COM LOCAÇÃO DE MÃO DE OBRA.",AÇÃO 1:  OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA CUSTEIO MÃO DE OBRA,DIRETA,DAB,DAB,-,"R$ 2.150.000,00","R$ 0,00","R$ 0,00",,EMPENHADA AGUARDANDO  FORMAIZAÇÃO,
00045.034024/2026-54,,,,11273170000126002,PROGRAMA,EQUIPAMENTO,2026,AQUISIÇÃO DE UNIDADE MÓVEL DE SAÚDE: AQUISIÇÃO DE CONSULTÓRIOS DE RUA,,DIRETA,DAB,DAB,,"R$ 719.980,00","R$ 0,00","R$ 0,00","0,00%",Proposta enviada para Análise Técnica de Mérito,
00045.008652/2026-84,CASTRO NETO,,,63000729988202600,PROGRAMA,CUSTEO MAC,2026,AQUISIÇÃO DE MEDICAMENTOS E MATERIAIS HOSPITALARES (trombolítico) III - REDE ALYNE PARTO E NASCIMENTO ALTO RISCO,"AÇÃO 1: MATERIAL DE CONSUMO: R$ 360.000,00",DIRETA,DAE,DAE,07/05/2026,"R$ 720.000,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,Processo de licitação finalizando 00045.036432/2026-28 trombolíticos: Edital Publicado em 10/09/2026.
00045.008652/2026-84,CASTRO NETO,,,63000729988202600,PROGRAMA,CUSTEO MAC,2026,AQUISIÇÃO DE MEDICAMENTOS E MATERIAIS HOSPITALARES (trombolítico) III - REDE ALYNE PARTO E NASCIMENTO ALTO RISCO,"AÇÃO 2: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA:  R$ 360.000,00",DIRETA,DAE,DAE,07/05/2026,"R$ 720.000,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,"AÇÃO II.  rede alyne (360.000,00) MAterial de terceiros pessoa jurídica: aguardando definição da área técnica. Oxigênio e é CIAMCA é pq já tem empenho pra isso até dezembro"
00045.007923/2026-76,CASTRO NETO,,,63000730197202600,PROGRAMA,CUSTEO MAC,2026,"II - PROGRAMA AGORA TEM ESPECIALISTAS - COMPONENTE CIRÚRGICO Ginecologia - Baixa Complexidade 300.000,00, Ginecologia - Média Complexidade 100.000,00,Ortopédia - Baixa Complexidade 100.000,00, Ortopédia - Média Complexidade 200.000,00, Outras Cirurgias - Baixa Complexidade 300.000,00, Outras Cirurgias - Média Complexidade 200.000,00
","AÇÃO 1: MATERIAL DE CONSUMO R$800.000,00",DIRETA,DAE,DAE,07/05/2026,"R$ 2.399.999,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,CONTRATOS INDICADOS PELA GTI
00045.007923/2026-76,CASTRO NETO,,,63000730197202600,PROGRAMA,CUSTEO MAC,2026,"II - PROGRAMA AGORA TEM ESPECIALISTAS - COMPONENTE CIRÚRGICO Ginecologia - Baixa Complexidade 300.000,00, Ginecologia - Média Complexidade 100.000,00,Ortopédia - Baixa Complexidade 100.000,00, Ortopédia - Média Complexidade 200.000,00, Outras Cirurgias - Baixa Complexidade 300.000,00, Outras Cirurgias - Média Complexidade 200.000,00
","AÇÃO 2: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA R$ 400.000,00",DIRETA,DAE,DAE,07/05/2026,"R$ 2.399.999,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,AGUARDANDO DEFINIÇÃO DA ÁREA TÉCNICA
00045.007923/2026-76,CASTRO NETO,,,63000730197202600,PROGRAMA,CUSTEO MAC,2026,"II - PROGRAMA AGORA TEM ESPECIALISTAS - COMPONENTE CIRÚRGICO Ginecologia - Baixa Complexidade 300.000,00, Ginecologia - Média Complexidade 100.000,00,Ortopédia - Baixa Complexidade 100.000,00, Ortopédia - Média Complexidade 200.000,00, Outras Cirurgias - Baixa Complexidade 300.000,00, Outras Cirurgias - Média Complexidade 200.000,00
","AÇÃO 3:  SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PESSOA JURIDICA R$1.199.999,00",DIRETA,DAE,DAE,07/05/2026,"R$ 2.399.999,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,AGUARDANDO DEFINIÇÃO DA ÁREA TÉCNICA
00045.008193/2026-61,SEM PROPONENTE,,,63000730709202600,PROGRAMA,CUSTEO MAC,2026,CUSTEIO MAC - FMS,,DIRETA,DAE,DAE,,"R$ 5.000.000,00","R$ 0,00","R$ 0,00",0;%,PROPOSTA ENVIADA PARA ANÁLISE TÉCNICA,
00045.008650/2026-41,SEM PROPONENTE,,,63000730714202600,PROGRAMA,CUSTEO MAC,2026,OCIs e as cirurgias: CISLA - Oftalmo e Otorrino; Monte Castelo e Primavera - Cardiologia; Satélite -Cirurgico Vascular; Dirceu Ortopedia -,,DIRETA,DAE,DAE,,"R$ 30.000.000,00","R$ 0,00","R$ 0,00","0,00%",ENVIADA PARA ANÁLISE TÉCNICA DE MÉRITO,
